S NO,HOTEL NAME,FREE WIFI,FAMILY ROOMS,NON SMOKING ROOMS,RESTAURANT,BAR,HEATING,LIFT,BREAKFAST CUISINE 1,BREAKFAST CUISINE 2,BREAKFAST CUISINE 3
1,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
2,Heaven Escape surrounded by stunning golf view High floor -Netflix-GYM-pool -perfect vacations,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
3,2 Bedroom Apt with Sea View,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
4,"Primestay - Bluewaters Residences 2BR, Dubai",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
5,Anantara Residences Palm Jumeirah,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
6,High Class 1BHK/Binghatti Mirage,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
7,FAM Living - Chic 1BR in Zada Tower near Dubai Mall & Metro,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
8,KLNZwave,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
9,Quiet Studio with Balcony and Roof Top Pool in Dubai Marina,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
10,"Cozy studio - Damac Hills, Dubai",YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
11,Looking for a space of your own?,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
12,STUDIO STAR,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
13,Loft Style Partition Room in Shared Apartment in Al Barsha 1 Near MOE Metro,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
14,The Retreat - Elevate Your Stay in Sports City,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
15,Elegant Studio at DAMAC Lincoln Park A Arjan-Dubailand by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
16,MSH Holiday Homes - Studio in Sports City,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
17,Majestine - Spacious Studio,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
18,1BR Apartment in Harbour Views-Creek Marina view,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
19,Sweden Beach Palace,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
20,"Modern Studio, Jadaf",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
21,Elite Downtown Residence 1 Studio,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
22,استوديو مفروش فاخر للايجار,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
23,One Bed Fully Furnished Apartment in Dubai Hills,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
24,360 Vacation - Classic Studio in the Heart of the Marina,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
25,Elegant & Chic 1BR Apt w/ Full swimming pool View,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
26,STAY Splendiferous 1BR Holiday Home near Downtown,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
27,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
28,Frank Porter - Reva Residences,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
29,Refined Studio-Ghalia Tower,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
30,Квартира студия Damac Maison Cour Jardin,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
31,Phenomenal Retreat from the Real World,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
32,Fully Furnished Luxury Short Stay Apartment in SLS Dubai,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
33,Stunning Sea&Royal Atlantis view from Luxury 2 BR,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
34,October Big Offer I Close to Dubai Mall,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
35,Lavish Studio @ Damac Hills 2,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
36,Luxury Duplex Loft With Private Terrace and AV System in JBR I 5 min Walk From Beach I Pool and Gym,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
37,"Cosy 1 Bedroom Apartment in Golf Vita, Damac Hills",YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
38,"Unique Dubai Marina Studio, near Jumeirah Beach, Mall and Metro",NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
39,Exquisite 2BR At Shams 1 JBR by Deluxe Holiday Homes,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
40,1 BHK APARTMENT Faith Holiday Homes,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
41,"Budget-friendly,green Community-5mins From Metro",YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
42,Chic Studio in Art Gardens Modern Living,YES,YES,YES,NO,NO,YES,NO,NO,YES,YES
43,Frank Porter - Shaista by Azizi,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES
44,Silkhaus modern 1BDR in Belgravia Heights with pool & gym,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO
45,Luxurious 1 BHK Flat with Burj Khalifa View,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO
46,Trophy - Lakefront Luxe Suite,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES
47,Signature Holiday Homes - Fully Furnished Studio Apartment in Tower 108,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES
