SNO,HOTEL NAME,ROOM TYPE ,SINGLE BED,DOUBLE BED,PRICES,,,,
1,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Apartments,YES,YES,5200,,,,
2,Heaven Escape surrounded by stunning golf view High floor -Netflix-GYM-pool -perfect vacations,Hotels,YES,YES,6500,,,,
3,2 Bedroom Apt with Sea View,Villas,YES,NO,2300,,,,
4,"Primestay - Bluewaters Residences 2BR, Dubai",Holiday homes,NO,NO,6500,,,,
5,Anantara Residences Palm Jumeirah,Resorts,NO,YES,8600,,,,
6,High Class 1BHK/Binghatti Mirage,Homestays,YES,YES,5200,,,,
7,FAM Living - Chic 1BR in Zada Tower near Dubai Mall & Metro,Guest houses,YES,YES,6500,,,,
8,KLNZwave,Hostels,YES,YES,2300,,,,
9,Quiet Studio with Balcony and Roof Top Pool in Dubai Marina,Boats,YES,NO,6500,,,,
10,"Cozy studio - Damac Hills, Dubai",Luxury tents,NO,NO,8600,,,,
11,Looking for a space of your own?,Bed and breakfasts,NO,YES,5200,,,,
12,STUDIO STAR,Campsites,YES,YES,6500,,,,
13,Loft Style Partition Room in Shared Apartment in Al Barsha 1 Near MOE Metro,Capsule hotels,YES,YES,2300,,,,
14,The Retreat - Elevate Your Stay in Sports City,Homestays,YES,YES,6500,,,,
15,Elegant Studio at DAMAC Lincoln Park A Arjan-Dubailand by Deluxe Holiday Homes,Guest houses,YES,NO,8600,,,,
16,MSH Holiday Homes - Studio in Sports City,Hostels,NO,NO,5200,,,,
17,Majestine - Spacious Studio,Boats,NO,YES,6500,,,,
18,1BR Apartment in Harbour Views-Creek Marina view,Luxury tents,YES,YES,2300,,,,
19,Sweden Beach Palace,Bed and breakfasts,YES,YES,6500,,,,
20,"Modern Studio, Jadaf",Campsites,YES,YES,8600,,,,
21,Elite Downtown Residence 1 Studio,Capsule hotels,YES,NO,5200,,,,
22,استوديو مفروش فاخر للايجار,Villas,NO,NO,6500,,,,
23,One Bed Fully Furnished Apartment in Dubai Hills,Holiday homes,NO,YES,2300,,,,
24,360 Vacation - Classic Studio in the Heart of the Marina,Resorts,YES,YES,6500,,,,
25,Elegant & Chic 1BR Apt w/ Full swimming pool View,Homestays,YES,YES,8600,,,,
26,STAY Splendiferous 1BR Holiday Home near Downtown,Guest houses,YES,YES,5200,,,,
27,"Elegant Studio at Damac Celestia, Dubai south - Ezytrac vacation Homes",Hostels,YES,NO,6500,,,,
28,Frank Porter - Reva Residences,Boats,NO,NO,2300,,,,
29,Refined Studio-Ghalia Tower,Luxury tents,NO,YES,6500,,,,
30,Квартира студия Damac Maison Cour Jardin,Bed and breakfasts,YES,YES,8600,,,,
31,Phenomenal Retreat from the Real World,Campsites,YES,YES,5200,,,,
32,Fully Furnished Luxury Short Stay Apartment in SLS Dubai,Capsule hotels,YES,YES,6500,,,,
33,Stunning Sea&Royal Atlantis view from Luxury 2 BR,Homestays,YES,NO,2300,,,,
34,October Big Offer I Close to Dubai Mall,Guest houses,NO,NO,6500,,,,
35,Lavish Studio @ Damac Hills 2,Hostels,NO,YES,8600,,,,
36,Luxury Duplex Loft With Private Terrace and AV System in JBR I 5 min Walk From Beach I Pool and Gym,Boats,YES,YES,5200,,,,
37,"Cosy 1 Bedroom Apartment in Golf Vita, Damac Hills",Luxury tents,YES,YES,6500,,,,
38,"Unique Dubai Marina Studio, near Jumeirah Beach, Mall and Metro",Bed and breakfasts,YES,YES,2300,,,,
39,Exquisite 2BR At Shams 1 JBR by Deluxe Holiday Homes,Campsites,YES,NO,6500,,,,
40,1 BHK APARTMENT Faith Holiday Homes,Capsule hotels,NO,NO,8600,,,,
